id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
237677,ad527be6-b130-4c8c-be24-20d5cb10603a,2013-04-04,2013-04-04,,Pacific Time (US & Canada),12877,cellardoor,Rochelle Kelly,2013-04-16 00:38:54 UTC,2020-08-18 01:00:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/237677,https://inaturalist-open-data.s3.amazonaws.com/photos/297876/medium.jpg,,"","",2,0,false,,santa fe national forest,35.735353597,-105.8629300817,,,,,,,,false,,manual,New Mexico,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
536157,d0296ce8-d4a8-40f4-b6ff-bf4bcb9149bf,2011-04-16 15:52:51,2011-04-16,2011-04-16 19:52:51 UTC,Eastern Time (US & Canada),30601,calopteryx,Matthew O'Donnell,2014-02-19 04:29:37 UTC,2021-06-24 01:58:19 UTC,research,CC0,http://www.inaturalist.org/observations/536157,https://static.inaturalist.org/photos/681888/medium.jpg,,"","Litocala sexsignata Hodges #8597 (Noctuoidea: Erebidae: Erebinae). Hondo Canyon, Bernalillo, NM 16 April 2011",1,0,false,,"Hondo Canyon, Bernalillo County",35.095491,-106.394026,,,,,,,,false,,"",New Mexico,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
586418,d45510e1-9da1-478d-9fce-fe6dd0ac6853,2014-03-25,2014-03-25,,Mountain Time (US & Canada),4530,jay,Jay Bird,2014-03-28 16:27:17 UTC,2021-06-29 18:08:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/586418,https://static.inaturalist.org/photos/745721/medium.jpg,,red butte gardens,"",2,0,false,,"Red Butte Garden, Utah",40.765234,-111.824169,188,,,,188,,,false,,,Utah,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
599866,b5aa0ed6-3506-467d-b076-01b913cbbb52,2014-03-28 12:41:13,2014-03-28,2014-03-28 19:41:13 UTC,Pacific Time (US & Canada),5692,justin2,Justin,2014-03-30 00:10:08 UTC,2025-03-13 16:29:24 UTC,research,CC-BY,http://www.inaturalist.org/observations/599866,https://inaturalist-open-data.s3.amazonaws.com/photos/755378/medium.jpg,,"",Butterfly on western redbud,2,1,false,,"Auburn, California, United States",38.934411,-121.026359,,,,,,,,false,,"",California,Litocala Moth,Litocala sexsignata,Litocala Moth,Insecta,343234
609665,4ce7f1b8-d395-48fb-a101-bed45a2f3aa5,2014-04-05 12:52:25,2014-04-05,2014-04-05 19:52:25 UTC,Pacific Time (US & Canada),5692,justin2,Justin,2014-04-06 04:08:08 UTC,2021-04-16 05:52:47 UTC,research,CC-BY,http://www.inaturalist.org/observations/609665,https://inaturalist-open-data.s3.amazonaws.com/photos/768639/medium.jpg,,"",Diurnal moth or skipper?,1,0,false,,"North Auburn, California, United States",38.912208,-121.035553,,,,,,,,false,,"",California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
609706,4ef95fdf-7ebc-48d3-8a83-86bdcafa893a,2014-04-05 14:55:49,2014-04-05,2014-04-05 21:55:49 UTC,Pacific Time (US & Canada),5692,justin2,Justin,2014-04-06 04:34:32 UTC,2021-04-16 05:52:41 UTC,research,CC-BY,http://www.inaturalist.org/observations/609706,https://inaturalist-open-data.s3.amazonaws.com/photos/768692/medium.jpg,,"","Diurnal moth. Abundant around Cercis occidentalis flowers in early April, also observed presumably puddling.",1,0,false,,"Bowman, California, United States",38.913566,-121.029281,,,,,,,,false,,"",California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
709236,5728e979-5bb1-4678-9aa8-63f95b857768,2014-05-24 23:23:14,2014-05-24,2014-05-25 06:23:14 UTC,Pacific Time (US & Canada),27743,jaykeller,Jay L. Keller,2014-06-01 00:48:57 UTC,2024-05-01 15:35:44 UTC,research,,http://www.inaturalist.org/observations/709236,https://static.inaturalist.org/photos/891215/medium.jpg,,"","",1,0,false,,"Ash Meadows NWR, Nevada",36.435647,-116.347961,1051,,,,1051,,,false,,manual,Nevada,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
1302345,4613c653-21d6-4e35-8992-3e2cf0a790c5,2015-03-18  1033,2015-03-18,2015-03-18 17:33:00 UTC,Pacific Time (US & Canada),910,icosahedron,John Hibbard,2015-03-19 00:21:21 UTC,2024-05-04 12:40:51 UTC,research,CC-BY,http://www.inaturalist.org/observations/1302345,https://inaturalist-open-data.s3.amazonaws.com/photos/1634409/medium.JPG,,"","Lots of these today flying up and down the path, stopping only for a second.",1,0,false,,Hood Mountain Regional Park,38.46992,-122.569249,104,,,,104,,,false,,,California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
1475005,8b3f7943-a5bd-47ed-90fb-0010ef11cad3,"May 09, 2015 07:01",2015-05-09,2015-05-09 14:01:00 UTC,Pacific Time (US & Canada),5692,justin2,Justin,2015-05-10 22:58:24 UTC,2018-01-25 02:40:54 UTC,research,CC-BY,http://www.inaturalist.org/observations/1475005,https://inaturalist-open-data.s3.amazonaws.com/photos/1828757/medium.JPG,,"",A diurnal moth,2,0,false,,Strawberry Cabin,38.801991,-120.125198,,,,,,,,false,,"",California,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
2631929,e10a2fb4-6c15-4ee1-b321-1999be0302db,2015-04-14,2015-04-14,,Mountain Time (US & Canada),8614,bug_eric,Eric R. Eaton,2016-01-31 02:16:36 UTC,2024-05-07 21:45:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/2631929,https://static.inaturalist.org/photos/2949584/medium.jpg,,"animals, wildlife, nature, insects, bugs, moths, Litocala Moth, Litocala sexsignata, Erebidae, Lepidoptera, Cheyenne Mountain State Park, Colorado, Front Range, Rocky Mountains, USA, North America","Small to medium-sized moth, day-flying, colored as shown.  Easily mistaken for a skipper such as a duskywing.  One of several individuals seen in the park that day.  Most were in flight.  Map location highly approximate.",1,0,false,,Cheyenne Mountain State Park,38.731961,-104.832299,,,,,,,,false,,,Colorado,Litocala sexsignata,Litocala sexsignata,Litocala Moth,Insecta,343234
