id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,created_at,url,image_url,latitude,longitude,private_latitude,private_longitude,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
66357,8baf60ce-b01f-466a-8e2a-b0bba6c12e01,2012-04-15,2012-04-15,,Eastern Time (US & Canada),2012-04-16 11:32:38 UTC,http://www.inaturalist.org/observations/66357,https://inaturalist-open-data.s3.amazonaws.com/photos/101043/medium.JPG,40.8069093376,-77.9145895179,,,Centre,Osmia cornifrons,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
1695898,9f33fefc-6829-4b6d-8564-a5673e03dd31,2015-06-21 12:18:35,2015-06-21,2015-06-21 16:18:35 UTC,Eastern Time (US & Canada),2015-06-27 02:29:07 UTC,http://www.inaturalist.org/observations/1695898,https://static.inaturalist.org/photos/2053443/medium.jpg,40.7310633333,-77.7533783333,,,Centre,Osmia georgica,Osmia georgica,Georgia Mason Bee,Insecta,226669
2735164,f9f46213-b3c6-4588-a0c6-e93cf06c6c33,2015-05-10 16:15:44,2015-05-10,2015-05-10 20:15:44 UTC,Eastern Time (US & Canada),2016-03-01 18:13:04 UTC,http://www.inaturalist.org/observations/2735164,https://inaturalist-open-data.s3.amazonaws.com/photos/3086705/medium.jpg,40.30184,-75.035696,,,Bucks,Osmia cornifrons,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
5700972,175f4aca-0f62-4d54-ac54-3e6a4dd70bd2,Fri Apr 14 2017 17:58:30 GMT-0400 (EDT),2017-04-14,2017-04-14 21:58:30 UTC,Eastern Time (US & Canada),2017-04-14 22:10:30 UTC,https://www.inaturalist.org/observations/5700972,https://static.inaturalist.org/photos/7062760/medium.jpg,40.5313482073,-80.0337606932,,,Allegheny,Osmia cornifrons,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
11572377,b5bbc07d-4acb-499b-923d-ac927aef2164,2018/04/27 1:04 PM EDT,2018-04-27,2018-04-27 17:04:00 UTC,Eastern Time (US & Canada),2018-04-28 03:07:12 UTC,https://www.inaturalist.org/observations/11572377,https://static.inaturalist.org/photos/16527750/medium.jpeg,40.4270097061,-79.8960408568,,,Allegheny,Horned-face Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
12164118,919fe1fd-9f89-4e4b-b438-d111d15839d8,Sat May 05 2018 12:39:10 GMT-0400 (EDT),2018-05-05,2018-05-05 16:39:10 UTC,Eastern Time (US & Canada),2018-05-05 17:03:10 UTC,https://www.inaturalist.org/observations/12164118,https://inaturalist-open-data.s3.amazonaws.com/photos/17461758/medium.jpg,40.473655,-79.9137716667,,,Allegheny,Taurus Mason Bee,Osmia taurus,Taurus Mason Bee,Insecta,461507
22214731,89782923-0c6d-4224-89d6-26195e84f1cb,2019/04/08 2:49 PM EDT,2019-04-08,2019-04-08 18:49:00 UTC,Eastern Time (US & Canada),2019-04-08 23:03:11 UTC,https://www.inaturalist.org/observations/22214731,https://static.inaturalist.org/photos/34397488/medium.jpg,39.8974263107,-75.3481964897,,,Delaware,Horn-faced Mason,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
22252847,6f20b986-8ec0-40ec-b156-fad464957dc5,2019-04-09 4:16:54 PM EDT,2019-04-09,2019-04-09 20:16:54 UTC,Eastern Time (US & Canada),2019-04-09 20:21:53 UTC,https://www.inaturalist.org/observations/22252847,https://inaturalist-open-data.s3.amazonaws.com/photos/34458453/medium.jpeg,41.2673772649,-80.446269745,,,Mercer,Hornfaced Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
22490446,9c7ca9bf-3dfe-43b5-8ffd-fcf3bb9aa18f,Sun Apr 14 2019 19:28:25 GMT-0400 (EDT),2019-04-14,2019-04-14 23:28:25 UTC,Eastern Time (US & Canada),2019-04-14 23:29:05 UTC,https://www.inaturalist.org/observations/22490446,https://static.inaturalist.org/photos/34840917/medium.jpg,39.8996262077,-76.6403731007,,,York,Hornfaced Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
22668157,face4967-006a-47fd-9d5b-469338c133b3,2019/04/18 2:03 AM EDT,2019-04-18,2019-04-18 06:03:00 UTC,Eastern Time (US & Canada),2019-04-18 18:15:49 UTC,https://www.inaturalist.org/observations/22668157,https://inaturalist-open-data.s3.amazonaws.com/photos/35121583/medium.jpeg,40.3356483,-75.9268747,,,Berks,Unequal Cellophane Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
